id,name,description,category,therapeuticArea,prevalence,unmetNeedIndex,keyUnmetNeeds,wikipediaUrl,medlineUrl,opentargetsUrl,omimUrl,nordUrl,clinicalTrialsUrl,leadingPagWebsiteUs,keyCompanies,guidelineDrugs,pipelineActivity,scores.burdenUntreated,scores.burdenTreated,scores.safetyTolerability,scores.convenienceAdministration
mucopolysaccharidosis-type-i-h-s,Mucopolysaccharidosis | type I-H/S,"Attenuated mucopolysaccharidosis type I (Hurler Scheie) is a progressive multisystem lysosomal storage disorder caused by alpha L iduronidase deficiency, leading to dermatan and heparan sulfate buildup and worsening joint restriction and skeletal disease, corneal clouding with vision loss risk, and cardiac valve thickening. Weekly lifelong intravenous laronidase can improve some non neurologic features but often does not halt progression in eyes, valves, joints, or spine and carries infusion burden and anaphylaxis risk, leaving a need for safer, more durable disease modifying therapies that reach hard to treat tissues.",Endocrinology,Endocrinology,Ultra-Orphan,3.732,"- Prevent/reverse progressive arthropathy (large joints/hands) and spinal disease/cord compression not improved by IV laronidase ERT
- Improve/prevent corneal clouding–related vision loss and slow cardiac valvular disease progression not impacted by ERT
- Reduce weekly multi-hour IV infusion burden and infusion-related risks (venous access issues, hypersensitivity/anaphylaxis) versus chronic laronidase",https://en.wikipedia.org/wiki/Hurler%E2%80%93Scheie_syndrome,https://medlineplus.gov/genetics/condition/mucopolysaccharidosis-type-i/,https://platform.opentargets.org/disease/MONDO_0011759,https://omim.org/entry/607015,https://rarediseases.org/rare-diseases/mucopolysaccharidosis-type-i/,https://clinicaltrials.gov/search?cond=Hurler-Scheie%20Syndrome&aggFilters=status:act%20rec%20enr%20not,https://mpssociety.org/,[object Object],[object Object],7,6,4,4,5
polycystic-ovary-syndrome,Polycystic ovary syndrome,"Polycystic ovary syndrome is a hormone imbalance disorder often involving insulin resistance, with ovulatory dysfunction and androgen excess causing irregular or absent periods, hirsutism, acne, weight gain, and infertility. There is no cure and care is largely symptom focused, while clinicians try to reduce long term risks such as type 2 diabetes, cardiovascular disease, and endometrial hyperplasia or cancer. Key unmet needs include disease modifying options and pregnancy compatible treatments, since common weight loss and antiandrogen drugs have pregnancy constraints and fertility induction can require intensive monitoring and carries multiple pregnancy risk.",Endocrinology,Endocrinology,Common,3.216,"- Pregnancy-safe anti-androgen therapy for hirsutism without mandatory effective contraception
- Fertility-compatible anti-obesity/metabolic therapy for higher-weight PCOS with better tolerability/durability and no contraception requirement
- Ovulation induction that lowers multiple pregnancy/OHSS risk and reduces intensity of ultrasound monitoring",https://en.wikipedia.org/wiki/Polycystic_ovary_syndrome,https://medlineplus.gov/polycysticovarysyndrome.html,https://platform.opentargets.org/disease/EFO_0000660,https://omim.org/entry/184700,,https://clinicaltrials.gov/search?cond=Polycystic%20Ovary%20Syndrome&aggFilters=status:act%20enr%20not%20rec,https://pcoschallenge.org/,,[object Object],7,2,1,3,3
atopic-dermatitis,Atopic dermatitis,"Atopic dermatitis is a common, chronic immune driven eczema marked by skin barrier dysfunction and intense itch that can drive a scratch rash cycle and disrupt sleep. Care often requires frequent moisturizers and topical anti inflammatories, but adherence drops quickly, leaving many patients under controlled. When disease escalates, systemic options can improve control yet bring tradeoffs such as ocular side effects with dupilumab and serious safety warnings for Janus kinase inhibitors, sustaining demand for faster, more durable itch and sleep relief with simpler long term regimens.",Dermatology,Dermatology,Common,3.967,"- Rapid, durable itch reduction with meaningful sleep restoration for AD patients with severe pruritus/sleep loss
- High-efficacy systemic therapy for refractory moderate–severe AD without dupilumab-linked ocular AEs or JAK inhibitor boxed-warning risks
- Simplified, low-burden regimens that replace multi-step daily topical routines to improve adherence",https://en.wikipedia.org/wiki/Atopic_dermatitis,https://medlineplus.gov/ency/article/000853.htm,https://platform.opentargets.org/disease/EFO_0000274,https://omim.org/entry/603165,,https://clinicaltrials.gov/search?cond=Atopic%20Dermatitis&aggFilters=status:rec%20not%20act%20enr,https://nationaleczema.org/,[object Object],[object Object],4,3,3,3,4
subclavian-steal-syndrome,Subclavian steal syndrome,"Subclavian steal syndrome is usually caused by proximal subclavian artery stenosis or occlusion, most often atherosclerosis, which reverses vertebral artery flow and can divert blood from the brain to the arm. Many patients are asymptomatic, but some develop exertional arm claudication with vertebrobasilar symptoms such as dizziness, vertigo, syncope, or blurred vision. Management relies on vascular risk reduction and antiplatelet based therapy, with revascularization for symptomatic disease, yet drug only options have limited evidence and stenting durability is constrained by 12 to 18.7% restenosis.",Cardiovascular,Cardiovascular,Common,3.121,"- Drug therapy for symptomatic relief in medically refractory symptomatic subclavian artery stenosis/coronary subclavian steal (alternative to revascularization)
- Adjunct pharmacotherapy to prevent/mitigate in-stent restenosis and improve long-term durability after subclavian stenting
- Lower-bleeding-risk, better-tolerated antithrombotic strategies for chronic prevention and peri-/post-stent periods (vs aspirin/clopidogrel regimens)",https://en.wikipedia.org/wiki/Subclavian_steal_syndrome,https://medlineplus.gov/ency/article/001123.htm,https://platform.opentargets.org/disease/EFO_1001195,,,https://clinicaltrials.gov/search?cond=Subclavian%20Steal%20Syndrome&aggFilters=status:act%20rec%20not%20unk,https://www.heart.org/,,[object Object],7,2,1,3,3
combined-hyperlipidemia,Combined hyperlipidemia,"Inherited dyslipidemia with fluctuating mixed hypercholesterolemia and hypertriglyceridemia, often silent until adulthood, that drives premature coronary artery disease and myocardial infarction; key unmet needs are reducing triglyceride rich lipoprotein driven residual cardiovascular risk despite optimal low density lipoprotein lowering, and improving long term persistence given statin myalgias and high discontinuation.",Cardiovascular,Cardiovascular,Common,3.494,"- Outcomes-proven residual ASCVD risk reduction (MACE) for mixed dyslipidemia patients with elevated remnant cholesterol/TG-rich lipoproteins despite statin-based LDL-C control.
- Non-statin LDL‑C/apoB-lowering options for statin-intolerant/discontinuing patients that minimize muscle-symptom–driven discontinuation.
- Simplified or low-frequency dosing (e.g., fixed-dose combos or infrequent clinic-administered therapy) to improve ≥1-year adherence/persistence vs multi-drug oral regimens.",https://en.wikipedia.org/wiki/Combined_hyperlipidemia,https://medlineplus.gov/ency/article/000396.htm,https://platform.opentargets.org/disease/Orphanet_79211,https://omim.org/entry/144250,,https://clinicaltrials.gov/search?cond=Combined%20hyperlipidemia&filter.overallStatus=RECRUITING%7CNOT_YET_RECRUITING%7CACTIVE_NOT_RECRUITING%7CENROLLING_BY_INVITATION,https://www.learnyourlipids.com/,[object Object],[object Object],6,3,2,3,3
non-small-cell-lung-cancer-squamous,Non-small cell lung cancer | squamous,"Smoking-associated central-airway non-small cell lung cancer causing cough, dyspnea, chest pain and hemoptysis; often presents late with few actionable mutations, and after first-line chemo-immunotherapy later-line options (eg docetaxel ± antiangiogenic therapy) have modest benefit and many patients deteriorate before further treatment.",Oncology,Oncology,Rare,5.306,"- Overall-survival–improving therapy for metastatic squamous NSCLC after progression on platinum chemotherapy + PD‑1/PD‑L1 inhibitors (vs docetaxel benchmark)
- Biomarker-selected targeted therapies for squamous-enriched oncogenic drivers where prior PI3K/cell-cycle/FGFR1 strategies have failed
- Better-tolerated, less burdensome regimens (fewer serious AEs and reduced infusion-visit burden) for the typical older, smoking-associated central-airway sqNSCLC population",https://en.wikipedia.org/wiki/Squamous-cell_carcinoma_of_the_lung,https://medlineplus.gov/ency/article/007194.htm,https://platform.opentargets.org/disease/EFO_0000708,https://www.omim.org/entry/211980,,https://clinicaltrials.gov/search?cond=Squamous%20Non-Small%20Cell%20Lung%20Cancer&aggFilters=status:rec%20not%20act%20enr,https://www.lungevity.org/,[object Object],[object Object],5,7,6,4,5
hyponatremia,Hyponatremia,"Hyponatremia is low blood sodium, common in older hospitalized or medically complex patients, where water shifts into cells and can cause neurologic dysfunction from gait and memory problems to seizures and coma. Care is often driven by lab monitoring yet remains hard to manage because first line fluid restriction is frequently impractical or ineffective and sodium correction must be tightly controlled to avoid osmotic demyelination. Pharmacologic options are constrained, with tolvaptan requiring inpatient initiation and limited to 30 days, leaving a need for safer, predictable, outpatient friendly therapies.",Nephrology,Nephrology,Common,3.726,"- Outpatient oral therapy that maintains Na ≥130–135 mEq/L without strict fluid restriction/urea palatability issues and without vaptan limits (hospital initiation, <30-day use/liver-toxicity concern)
- Acute severe hyponatremia regimen with rapid-on/rapid-off titration (or an on-demand “brake”) to hit +4–6 mEq/L initially while capping total correction ≤8–10 mEq/L/24h to reduce overcorrection/ODS and intensive monitoring burden
- Therapies for older adults with mild chronic hyponatremia that improve functional endpoints (falls, gait stability, attention/cognition) beyond serum sodium normalization",https://en.wikipedia.org/wiki/Hyponatremia,https://medlineplus.gov/ency/article/000394.htm,https://platform.opentargets.org/disease/HP_0002902,https://www.omim.org/entry/613508,,https://clinicaltrials.gov/search?cond=Hyponatremia&aggFilters=status:rec%20not%20act%20enr,https://www.kidney.org/,,[object Object],7,3,2,4,4
wart-plantar,Wart | Plantar,"Plantar warts are contagious human papillomavirus lesions on the sole, common in children and young adults, that can be painful on weight bearing. They often persist for months to years, and current options such as topical salicylic acid and cryotherapy are slow, irritating or painful, and inconsistently effective, with low short term clearance and frequent recurrence because treatments remove infected skin rather than eradicate the virus.",Dermatology,Dermatology,Common,3.803,"- Durable, high-complete-clearance therapy for stubborn/recalcitrant plantar (incl. palmo-plantar) warts with low recurrence, including better efficacy in immunosuppressed patients
- Child-/adolescent-appropriate weight-bearing–site therapy minimizing pain/blistering and avoiding scarring/pigment change
- Shorter, simpler primarily at-home regimens (fewer steps/clinic visits) vs ≥12-week daily prep and repeated cryotherapy visits",https://en.wikipedia.org/wiki/Plantar_wart,https://medlineplus.gov/warts.html,https://platform.opentargets.org/disease/EFO_1002023,https://www.omim.org/search?index=entry&search=%22plantar%20warts%22,,https://clinicaltrials.gov/search?cond=Plantar%20Wart,,,[object Object],7,2,2,3,4
chlamydia-trachomatis-infection,Chlamydia trachomatis infection,"Chlamydia trachomatis is a common sexually transmitted bacterial infection that is frequently asymptomatic and therefore detected mainly through screening. When untreated it can progress to pelvic inflammatory disease with lasting reproductive harm including infertility and ectopic pregnancy, and repeat infections further increase risk. Antibiotics clear infection but cannot reverse established tissue damage, and there is no licensed vaccine, leaving major unmet needs in scalable prevention and adherence friendly regimens that reliably eradicate rectal infection where single dose therapy can underperform.",Infectious disease,Infectious disease,Common,3.093,"- Durable primary-prevention vaccine for adolescents/young adults to prevent primary genital chlamydia infection and reinfection.
- Female-controlled, non-condom prophylaxis (e.g., on-demand vaginal microbicide/gel) to prevent urogenital C. trachomatis (ideally also gonorrhea).
- Single-dose or ultra-short-course oral cure matching doxycycline-like microbiologic cure for rectal (ideally oropharyngeal) infection.",https://en.wikipedia.org/wiki/Chlamydia,https://medlineplus.gov/chlamydiainfections.html,https://platform.opentargets.org/disease/EFO_0007205,https://omim.org/search?index=entry&search=Chlamydia%20trachomatis,,https://clinicaltrials.gov/search?cond=Chlamydia%20trachomatis%20infection,https://www.ashasexualhealth.org/,[object Object],[object Object],7,2,1,2,3
onychomycosis,Onychomycosis,"Chronic fungal nail infection, usually of the great toenail, causing thickened brittle nails with subungual debris, lifting and sometimes pain. It is common in older adults and higher risk in diabetes, yet eradication is slow and relapse is frequent. Topicals often require nearly a year and are limited by poor nail penetration and adherence, while more effective oral antifungals carry systemic adverse effects and drug interaction risk, leaving demand for safer high efficacy therapies with durable clearance.",Infectious disease,Infectious disease,Common,3.186,"- Improve complete-cure rates (negative mycology + 100% clear nail) in hard-to-treat/large-area or matrix-involved disease by overcoming poor nail penetration.
- Provide oral-level efficacy with fewer systemic safety constraints/monitoring for patients with liver disease, CHF, or major drug–drug interaction burden.
- Shorten/simplify regimens versus 48-week topicals while improving durability (lower relapse) and reducing resistance-linked treatment failure.",https://en.wikipedia.org/wiki/Onychomycosis,https://medlineplus.gov/ency/article/001330.htm,https://platform.opentargets.org/disease/MONDO_0001628,https://omim.org/search?index=entry&search=onychomycosis,,https://clinicaltrials.gov/search?cond=Onychomycosis,,[object Object],[object Object],7,2,1,3,3
